13款新bmw偶尔会熄火大家有遇到过吗不管是不是冷车启动，反正小马看心情启动的时候就有可能熄火。。。最近偶尔熄火一次，过年那段时间比较频繁，感觉车比以前挫顿感强了，去修车的地方检查不出来什么问题。大家有遇到过类似情况吗？,Engine
你们的新车都磨合了吗？才提车的第二天就关了防侧滑大油门甩尾跑了山路影响以后磨合吗？？？现在的车有没有磨合期今天突然发现怠速高了热车都有一千转然后排气管声音大。。。。,Engine
车门开不了了右边后座车门坐在车里开门开不了要在外面开门才可以这是什么情况,Door
车下车，后排右车门，打不开是什么情况这几天家人坐后排，下车时右边的车门打不开出不去。。。但是从外面又能打开。。。我是不是按了什么不该按的地方？车窗上的一根小柱子并没有按下去,Door
大家帮忙看看轮胎问题。轮胎鼓包了这样的情况是不是得换了，才开了3个月的车,Tire
328雨天柏油路打滑严重后驱车都如此吗？最近下雨，在路面上开油门稍微大点就要打滑，这正常吗？,Tire
320lim刹车尖叫异响跑了5000多公里，这个冬天某一天下雪很冷突然刹车开始异响，就是指甲划玻璃那种很刺耳的声音，像旧电动车刹车那种缺油的声，一开始是零度左右很明显，最近发现天热了也一样响，尤其是启动时候还有缓慢踩刹车的时候，超级丢脸的声音。有人也这样吗？有办法解决吗？,Brake
转速过高？请问19款5系开暖气发动机从700转跳到900转是什么原因？没有开空调。请指教，谢谢！,Engine
求解，530新车，发动机故障灯亮，检测氧传感器问题宝马530.提车不到1个月，发动机故障灯亮，检测后氧传感器问题，从新设置了传感器数据，灯灭了，开了500公里，又亮了，又设置数据，又开500又亮了，怎么处理，求救,Engine
朋友们，你们车轮胎都是在多少公里的时候换的？我是2016年7月的320Li，17寸普利司通轮胎，目前4万9千公里。两个后轮磨损比较厉害，凹槽只剩一点了，大概两三毫米吧，前轮磨损还好。过年要开450公里高速，怎么做比较好呢？,Tire
2019款宝马X5发动机故障灯亮新车刚出4S店发动机故障灯就亮了，回去检测说没问题，开了1000多公里春节回老家发动机故障灯又亮了，又间还有一次仪表盘黑屏,Engine
G38系列的5系松刹车时候有异响，什么原因！我是18款5系，才开了6000公里，我把启停关闭开车，堵车时候脚刹刹车刹死，然后慢慢松脚刹时候，刹车系统就有很明显的异响，砰砰的声音，一走起来就没有，感觉刹车卡钳有限卡住了的感觉，让人很不舒服。请问你这个进口的有这个问题么？,Brake
必须要吐槽一下！！！初四偶降大雪，在安徽境内高速，以20码的速度跟车行驶，当前方车辆刹车时，我竟刹不住，车子滑出去5米左右！（差半米就撞上）有一段不堵车的路，稍微一加速，轮子就打滑！！！还宝马了，很多国产车都比我开的快，丢人丢大了！,Tire
刹车异响16款320，前段时间踩下刹车会听到“咔塔”一声响，不是每次踩都响，也不是ABS的原因，不知大家有没有遇到过类似问题？遇到后是怎么处理的？,Brake
